dataFileName	indexContact	indexMaxPreload	indexMaxAdhesion	angle
p33-3-a40.data	211	248	341	40
p33-3-a50.data	210	246	328	50
p33-3-a60.data	208	244	310	60
p33-3-a70.data	206	242	294	70
p33-3-a80.data	203	239	286	80
p33-3-a90.data	202	239	286	90
p36-1-a00.data	229	281	423	0
p36-1-a01.data	228	279	416	1
p36-1-a02.data	226	281	414	2
p36-1-a03.data	224	276	408	3
p36-1-a04.data	223	274	403	4
p36-1-a05.data	220	271	398	5
p36-1-a06.data	219	270	395	6
p36-1-a07.data	216	268	394	7
p36-1-a08.data	214	265	403	8
p36-1-a09.data	214	265	399	9
p36-1-a10.data	211	262	396	10
p36-1-a20.data	209	260	372	20
p36-1-a30.data	208	259	349	30
p36-1-a40.data	204	256	372	40
p36-1-a50.data	204	256	359	50
p36-1-a60.data	202	254	343	60
p36-1-a70.data	203	254	326	70
p36-1-a80.data	200	251	315	80
p36-1-a90.data	201	252	315	90
p36-2-a00.data	230	284	423	0
p36-2-a01.data	229	280	417	1
p36-2-a02.data	226	278	414	2
p36-2-a03.data	224	275	409	3
p36-2-a04.data	224	275	405	4
p36-2-a05.data	222	273	400	5
p36-2-a06.data	219	271	402	6
p36-2-a07.data	220	271	397	7
p36-2-a08.data	217	269	407	8
p36-2-a09.data	217	268	401	9
p36-2-a10.data	214	266	399	10
p36-2-a20.data	211	263	368	20
p36-2-a30.data	210	262	357	30
p36-2-a40.data	208	260	355	40
p36-2-a50.data	208	260	362	50
p36-2-a60.data	204	256	346	60
p36-2-a70.data	203	255	328	70
p36-2-a80.data	202	254	317	80
p36-2-a90.data	198	250	313	90
p36-3-a00.data	229	281	424	0
p36-3-a01.data	229	281	419	1
p36-3-a02.data	228	279	415	2
p36-3-a03.data	225	277	412	3
p36-3-a04.data	223	276	408	4
p36-3-a05.data	223	276	410	5
p36-3-a06.data	222	274	401	6
p36-3-a07.data	222	274	400	7
p36-3-a08.data	220	272	398	8
p36-3-a09.data	220	272	410	9
p36-3-a10.data	216	268	403	10
p36-3-a20.data	215	266	368	20
p36-3-a30.data	215	266	396	30
p36-3-a40.data	215	267	383	40
p36-3-a50.data	214	266	369	50
p36-3-a60.data	212	264	353	60
p36-3-a70.data	211	263	336	70
p36-3-a80.data	209	261	324	80
p36-3-a90.data	207	259	322	90
