fileName	anglePitch	forceMaxAdhesion	forceMaxShear	preload	angle
../033-20100302-sws17-ls/data/separated/p33-3-a06.data	-3	-0.767	4.779	33	6
../033-20100302-sws17-ls/data/separated/p33-3-a07.data	-3	-1.032	4.731	33	7
../033-20100302-sws17-ls/data/separated/p33-3-a08.data	-3	-1.01	4.644	33	8
../033-20100302-sws17-ls/data/separated/p33-3-a09.data	-3	-1.094	4.341	33	9
../033-20100302-sws17-ls/data/separated/p33-3-a10.data	-3	-1.191	4.119	33	10
../033-20100302-sws17-ls/data/separated/p33-3-a20.data	-3	-2.168	3.837	33	20
../033-20100302-sws17-ls/data/separated/p33-3-a30.data	-3	-3.523	3.046	33	30
../033-20100302-sws17-ls/data/separated/p33-3-a40.data	-3	-3.502	3.16	33	40
../033-20100302-sws17-ls/data/separated/p33-3-a50.data	-3	-3.818	3.443	33	50
../033-20100302-sws17-ls/data/separated/p33-3-a60.data	-3	-2.942	2.571	33	60
../033-20100302-sws17-ls/data/separated/p33-3-a70.data	-3	-1.968	1.679	33	70
../033-20100302-sws17-ls/data/separated/p33-3-a80.data	-3	-2.05	1.049	33	80
../033-20100302-sws17-ls/data/separated/p33-3-a90.data	-3	-2.263	0.273	33	90
../033-20100302-sws17-ls/data/separated/p36-1-a00.data	-3	0.585	6.858	36	0
../033-20100302-sws17-ls/data/separated/p36-1-a01.data	-3	0.48	6.478	36	1
../033-20100302-sws17-ls/data/separated/p36-1-a02.data	-3	0.17	6.647	36	2
../033-20100302-sws17-ls/data/separated/p36-1-a03.data	-3	0.03	6.482	36	3
../033-20100302-sws17-ls/data/separated/p36-1-a04.data	-3	-0.017	6.316	36	4
../033-20100302-sws17-ls/data/separated/p36-1-a05.data	-3	0.276	5.861	36	5
../033-20100302-sws17-ls/data/separated/p36-1-a06.data	-3	-0.048	5.763	36	6
../033-20100302-sws17-ls/data/separated/p36-1-a07.data	-3	-0.068	5.675	36	7
../033-20100302-sws17-ls/data/separated/p36-1-a08.data	-3	-0.433	5.562	36	8
../033-20100302-sws17-ls/data/separated/p36-1-a09.data	-3	-0.6	5.403	36	9
../033-20100302-sws17-ls/data/separated/p36-1-a10.data	-3	-0.761	5.302	36	10
../033-20100302-sws17-ls/data/separated/p36-1-a20.data	-3	-1.518	4.254	36	20
../033-20100302-sws17-ls/data/separated/p36-1-a30.data	-3	-1.799	3.89	36	30
../033-20100302-sws17-ls/data/separated/p36-1-a40.data	-3	-3.343	2.906	36	40
../033-20100302-sws17-ls/data/separated/p36-1-a50.data	-3	-3.457	3.103	36	50
../033-20100302-sws17-ls/data/separated/p36-1-a60.data	-3	-3.72	3.365	36	60
../033-20100302-sws17-ls/data/separated/p36-1-a70.data	-3	-2.58	2.295	36	70
../033-20100302-sws17-ls/data/separated/p36-1-a80.data	-3	-2.192	1.334	36	80
../033-20100302-sws17-ls/data/separated/p36-1-a90.data	-3	-2.554	0.288	36	90
../033-20100302-sws17-ls/data/separated/p36-2-a00.data	-3	0.56	6.699	36	0
../033-20100302-sws17-ls/data/separated/p36-2-a01.data	-3	0.437	6.455	36	1
../033-20100302-sws17-ls/data/separated/p36-2-a02.data	-3	0.207	6.685	36	2
../033-20100302-sws17-ls/data/separated/p36-2-a03.data	-3	-0.162	6.835	36	3
../033-20100302-sws17-ls/data/separated/p36-2-a04.data	-3	-0.182	6.467	36	4
../033-20100302-sws17-ls/data/separated/p36-2-a05.data	-3	0.076	6.059	36	5
../033-20100302-sws17-ls/data/separated/p36-2-a06.data	-3	-0.164	6.003	36	6
../033-20100302-sws17-ls/data/separated/p36-2-a07.data	-3	-0.204	5.741	36	7
../033-20100302-sws17-ls/data/separated/p36-2-a08.data	-3	-0.432	5.683	36	8
../033-20100302-sws17-ls/data/separated/p36-2-a09.data	-3	-0.744	5.587	36	9
../033-20100302-sws17-ls/data/separated/p36-2-a10.data	-3	-0.774	5.503	36	10
../033-20100302-sws17-ls/data/separated/p36-2-a20.data	-3	-1.413	4.532	36	20
../033-20100302-sws17-ls/data/separated/p36-2-a30.data	-3	-2.016	4.085	36	30
../033-20100302-sws17-ls/data/separated/p36-2-a40.data	-3	-2.506	3.929	36	40
../033-20100302-sws17-ls/data/separated/p36-2-a50.data	-3	-3.617	3.165	36	50
../033-20100302-sws17-ls/data/separated/p36-2-a60.data	-3	-3.828	3.316	36	60
../033-20100302-sws17-ls/data/separated/p36-2-a70.data	-3	-2.604	2.212	36	70
../033-20100302-sws17-ls/data/separated/p36-2-a80.data	-3	-2.26	1.331	36	80
../033-20100302-sws17-ls/data/separated/p36-2-a90.data	-3	-2.369	0.322	36	90
../033-20100302-sws17-ls/data/separated/p36-3-a00.data	-3	0.538	6.811	36	0
../033-20100302-sws17-ls/data/separated/p36-3-a01.data	-3	0.282	6.875	36	1
../033-20100302-sws17-ls/data/separated/p36-3-a02.data	-3	0.082	6.587	36	2
../033-20100302-sws17-ls/data/separated/p36-3-a03.data	-3	0.051	6.67	36	3
../033-20100302-sws17-ls/data/separated/p36-3-a04.data	-3	-0.124	6.496	36	4
../033-20100302-sws17-ls/data/separated/p36-3-a05.data	-3	0.026	6.111	36	5
../033-20100302-sws17-ls/data/separated/p36-3-a06.data	-3	-0.137	6.076	36	6
../033-20100302-sws17-ls/data/separated/p36-3-a07.data	-3	-0.127	5.812	36	7
../033-20100302-sws17-ls/data/separated/p36-3-a08.data	-3	-0.204	5.679	36	8
../033-20100302-sws17-ls/data/separated/p36-3-a09.data	-3	-0.602	5.515	36	9
../033-20100302-sws17-ls/data/separated/p36-3-a10.data	-3	-0.708	5.498	36	10
../033-20100302-sws17-ls/data/separated/p36-3-a20.data	-3	-1.237	4.495	36	20
../033-20100302-sws17-ls/data/separated/p36-3-a30.data	-3	-3.363	2.811	36	30
../033-20100302-sws17-ls/data/separated/p36-3-a40.data	-3	-3.404	2.882	36	40
../033-20100302-sws17-ls/data/separated/p36-3-a50.data	-3	-3.537	3.136	36	50
../033-20100302-sws17-ls/data/separated/p36-3-a60.data	-3	-3.73	3.278	36	60
../033-20100302-sws17-ls/data/separated/p36-3-a70.data	-3	-2.735	2.241	36	70
../033-20100302-sws17-ls/data/separated/p36-3-a80.data	-3	-2.211	1.274	36	80
../033-20100302-sws17-ls/data/separated/p36-3-a90.data	-3	-2.341	0.293	36	90
